ImageIndex,identification_method,phylum,class,order,family,genus,species,sex,lifestage,caption,media_descriptor,image_file,copyright_institution,photographer,source
ImgIndex_0032,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046292+1552593240.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0033,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046292_Head+1552593240.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0034,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046297_Tail+1554479462.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0035,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046297+1554474682.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0036,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hydromermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046297_Head+1554479434.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0037,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Isomermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046318+1552593300.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0038,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Isomermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046318_Tail+1552593300.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0039,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Isomermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046318_Head+1552593300.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0040,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Isomermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046319_Head+1552593360.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0041,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Isomermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046319+1552587960.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0042,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Isomermis,Some,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046319_Tail+1552593480.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0043,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hexamermis,Hexamermis Janzen2874,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046324_A+1553277066.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0044,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hexamermis,Hexamermis Janzen2874,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046324+1553276240.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0045,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hexamermis,Hexamermis Janzen2874,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046324_B+1548772946.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0046,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046335_A+1553277116.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0047,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046335+1553277226.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0048,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046335_B+1548711036.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0049,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046349_Tail+1554479482.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0050,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046349+1554472964.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0051,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046349_Head+1554479472.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0052,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hexamermis,Hexamermis Janzen2874,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046353_B+1548712872.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0053,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hexamermis,Hexamermis Janzen2874,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046353_A+1548712288.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0054,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hexamermis,Hexamermis Janzen2874,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046353+1553277328.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0055,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046388_Head+1554479522.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0056,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046388+1554476764.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0057,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046388_Tail+1554479560.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0058,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046394_C+1548709416.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0059,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046394_A+1553277512.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0060,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Romanomermis,Romanomermis Janzen1913,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046394+1553277582.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0061,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0047355_Tail+1552593660.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0062,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0047355+1552590360.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0063,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0047355_Head+1552593600.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0064,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0047362+1554475718.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0065,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0047362_Head+1554479590.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0066,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0047362_Tail+1554479630.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0067,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0047348+1552588860.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0068,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0047348_Tail+1552593600.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0069,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Mermis,,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0047348_Head+1552593540.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0070,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hexamermis,Hexamermis Janzen2874,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046370_B+1548773930.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0071,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hexamermis,Hexamermis Janzen2874,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046370_A+1548773290.jpg,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0072,Some,Nematoda,Enoplea,Mermithida,Mermithidae,Hexamermis,Hexamermis Janzen2874,Some,last instar larva,Some,Specimen,http://www.boldsystems.org/pics/ACGBA/DHJPAR0046370+1553277496.JPG,Centre for Biodiversity Genomics,CBG Photography Group,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0073,"Light Microscope , COI DNA",Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,female head with lip region and stylet 1000X magnification,Head,http://www.boldsystems.org/pics/CRICO/NID12_3+1513628902.jpg,University of Nebraska,Tom Powers,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0074,"Light Microscope , COI DNA",Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,female entire body 400X magnification,Entire body,http://www.boldsystems.org/pics/CRICO/NID12_1+1513628474.jpg,University of Nebraska,Tom Powers,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0075,"Light Microscope , COI DNA",Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,female entire body 400X magnification,Entire body,http://www.boldsystems.org/pics/CRICO/NID12_2+1513628624.jpg,University of Nebraska,Tom Powers,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0076,"Light Microscope , COI DNA",Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,female tail and vulva and oocytes 1000X magnification,Tail,http://www.boldsystems.org/pics/CRICO/NID12_4+1513629054.jpg,University of Nebraska,Tom Powers,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0077,Some,Nematoda,Chromadorea,Tylenchida,Criconematidae,Ogma,Ogma octangularis,F,Adult,Female midbody cuticle with scales,Midbody,http://www.boldsystems.org/pics/CRICO/NID2790_3+1564160600.jpg,University of Nebraska,Tom Powers,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0078,Some,Nematoda,Chromadorea,Tylenchida,Criconematidae,Ogma,Ogma octangularis,F,Adult,Female entire body,Entire,http://www.boldsystems.org/pics/CRICO/NID2790_1+1564160408.jpg,University of Nebraska,Tom Powers,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0079,Some,Nematoda,Chromadorea,Tylenchida,Criconematidae,Ogma,Ogma octangularis,F,Adult,Female head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID2790_2+1564160482.jpg,University of Nebraska,Tom Powers,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0080,Some,Nematoda,Chromadorea,Tylenchida,Criconematidae,Ogma,Ogma octangularis,F,Adult,Female tail cuticle with scales and vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID2790_4+1564160688.jpg,University of Nebraska,Tom Powers,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
ImgIndex_0081,Some,Nematoda,Chromadorea,Monhysterida,Some,Some,Some,Some,Some,Whole specimen,Lateral,http://www.boldsystems.org/pics/FMN/MNQRII030+1386791156.jpg,Arely Martinez Arce,Arely Martinez Arce,http://boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=19
